# ATA008_iter2-Revision.csv | TFG HIDS - Fase 3 A2.1 (R-09/R-13) | ata=ATA008 iter=2 | modo=ataque | alerta=Dataset/Ataques/Resultados/Wazuh/linux/CSV/ATA008_iter2-Detalle.csv sha256=81a15a187221267f90599a60d4d1c546d3036e8f64653092fed826073d43eccb | catalogo=Dataset/Legitimo/ruleids_legitimos.csv sha256=388dce2f0a3c51e8dcb5583a393a25d4b9483e35881701817bc1d3bd41561be8 | esperado=Dataset/Ataques/Comandos\T1048-Exfiltration_Over_Alternative_Protocol\ATA008_esperado.csv sha256=0c850af2b3d0285a1cb1a31a32f16fde6f566443ef66ef5f1437ffbaead9cdfb | revision=Dataset/Ataques/Resultados/Wazuh/linux/Auditado/ATA008_iter2-Revision.csv sha256=ea1f2345e117dc52d2fe6c10fd1bb3fac31fecbc787fd2da67e84c95de69a1f2 | conteos: filas=724 deteccion=2 auto_ruido=603 ruido_conocido=115 dudosa=4 | columnas: ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia
ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia,veredicto,nota,revisor,fecha
ATA008,2,2026-09-25T20:58:51.259Z,victima-linux,5715,3,syslog|sshd|authentication_success,RS1,sshd: authentication success.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA008,2,2026-09-25T20:58:51.261Z,victima-linux,5501,3,pam|syslog|authentication_success,RS1,PAM: Login session opened.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA008,2,2026-09-25T20:58:51.274Z,victima-linux,5502,3,pam|syslog,RS1,PAM: Login session closed.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA008,2,2026-09-25T20:59:01.244Z,victima-linux,5502,3,pam|syslog,RS1,PAM: Login session closed.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
