# ATA013_iter1-Revision.csv | TFG HIDS - Fase 3 A2.1 (R-09/R-13) | ata=ATA013 iter=1 | modo=ataque | alerta=Dataset/Ataques/Resultados/Wazuh/linux/CSV/ATA013_iter1-Detalle.csv sha256=ec4452c355cec6fd1b783dd332a0177f57e08909521bf7d729a36ff483703228 | catalogo=Dataset/Legitimo/ruleids_legitimos.csv sha256=388dce2f0a3c51e8dcb5583a393a25d4b9483e35881701817bc1d3bd41561be8 | esperado=Dataset/Ataques/Comandos\T1560-Archive_Collected_Data\ATA013_esperado.csv sha256=9e87b36eed89d3c97a5086d134fc81a75c73d55b6ff40ae0df7e14781727f77a | conteos: filas=841 deteccion=0 auto_ruido=621 ruido_conocido=212 dudosa=8 | columnas: ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia
ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia,veredicto,nota,revisor,fecha
ATA013,1,2026-09-25T21:43:05.688Z,victima-linux,5715,3,syslog|sshd|authentication_success,RS1,sshd: authentication success.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,1,2026-09-25T21:43:05.690Z,victima-linux,5501,3,pam|syslog|authentication_success,RS1,PAM: Login session opened.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,1,2026-09-25T21:43:05.704Z,victima-linux,5501,3,pam|syslog|authentication_success,RS1,PAM: Login session opened.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,1,2026-09-25T21:43:05.766Z,victima-linux,5502,3,pam|syslog,RS1,PAM: Login session closed.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,1,2026-09-25T21:43:05.774Z,victima-linux,5715,3,syslog|sshd|authentication_success,RS1,sshd: authentication success.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,1,2026-09-25T21:43:05.775Z,victima-linux,5501,3,pam|syslog|authentication_success,RS1,PAM: Login session opened.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,1,2026-09-25T21:43:05.787Z,victima-linux,5502,3,pam|syslog,RS1,PAM: Login session closed.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,1,2026-09-25T21:43:15.389Z,victima-linux,5502,3,pam|syslog,RS1,PAM: Login session closed.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
