# ATA013_iter2-Revision.csv | TFG HIDS - Fase 3 A2.1 (R-09/R-13) | ata=ATA013 iter=2 | modo=ataque | alerta=Dataset/Ataques/Resultados/Wazuh/linux/CSV/ATA013_iter2-Detalle.csv sha256=1f39a524fd0b3ffe5a40be0a68d8cbc377d1b3b9326158d0a3acde513a99192d | catalogo=Dataset/Legitimo/ruleids_legitimos.csv sha256=388dce2f0a3c51e8dcb5583a393a25d4b9483e35881701817bc1d3bd41561be8 | esperado=Dataset/Ataques/Comandos\T1560-Archive_Collected_Data\ATA013_esperado.csv sha256=9e87b36eed89d3c97a5086d134fc81a75c73d55b6ff40ae0df7e14781727f77a | conteos: filas=1032 deteccion=0 auto_ruido=886 ruido_conocido=142 dudosa=4 | columnas: ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia
ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia,veredicto,nota,revisor,fecha
ATA013,2,2026-09-25T21:49:30.363Z,victima-linux,5501,3,pam|syslog|authentication_success,RS1,PAM: Login session opened.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,2,2026-09-25T21:49:30.363Z,victima-linux,5715,3,syslog|sshd|authentication_success,RS1,sshd: authentication success.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,2,2026-09-25T21:49:30.364Z,victima-linux,5502,3,pam|syslog,RS1,PAM: Login session closed.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA013,2,2026-09-25T21:49:31.231Z,victima-linux,19004,7,sca,RS1,SCA summary: CIS Ubuntu Linux 24.04 LTS Benchmark v1.0.0.: Score less than 50% (47),dudosa,sin_campos,,pendiente,,,ruido,"autoevaluacion SCA del propio HIDS, ajena a T1560; no debe contar como deteccion (decision humana 2026-09-25)",humano (veredicto en bloque),2026-09-25
