# ATA008_iter1-Revision.csv | TFG HIDS - Fase 3 A2.1 (R-09/R-13) | ata=ATA008 iter=1 | modo=ataque | alerta=Dataset/Ataques/Resultados/Wazuh/linux/CSV/ATA008_iter1-Detalle.csv sha256=ec5891c83d6d306b2023b3cdef28a084b71a858cc3f607c97ba1c5d5a39d072f | catalogo=Dataset/Legitimo/ruleids_legitimos.csv sha256=388dce2f0a3c51e8dcb5583a393a25d4b9483e35881701817bc1d3bd41561be8 | esperado=Dataset/Ataques/Comandos\T1048-Exfiltration_Over_Alternative_Protocol\ATA008_esperado.csv sha256=0c850af2b3d0285a1cb1a31a32f16fde6f566443ef66ef5f1437ffbaead9cdfb | revision=Dataset/Ataques/Resultados/Wazuh/linux/Auditado/ATA008_iter1-Revision.csv sha256=ec36e3588a48e7521e0fce612eb95e913b2b78dddd5859930c71cd8f1e14c235 | conteos: filas=666 deteccion=2 auto_ruido=602 ruido_conocido=59 dudosa=3 | columnas: ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia
ata_id,iter,timestamp_utc,agent_name,rule_id,rule_level,rule_groups,rs_origen,rule_description,categoria,motivo,atribucion,revision,veredicto_humano,evidencia,veredicto,nota,revisor,fecha
ATA008,1,2026-09-25T20:54:48.017Z,victima-linux,5501,3,pam|syslog|authentication_success,RS1,PAM: Login session opened.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA008,1,2026-09-25T20:54:48.017Z,victima-linux,5715,3,syslog|sshd|authentication_success,RS1,sshd: authentication success.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
ATA008,1,2026-09-25T20:54:49.933Z,victima-linux,5502,3,pam|syslog,RS1,PAM: Login session closed.,dudosa,sin_campos,,pendiente,,,ruido,"criterio fijado por el humano el 2026-09-25 (sesiones del operador, ajenas al ataque)",humano (veredicto en bloque),2026-09-25
